id,comName,sciName,howMany,locName,locId,lat,lng,obsDt,
URN:CornellLabOfOrnithology:EBIRD:OBS2159464446,Iberian Magpie,Cyanopica cooki,3,Los Balcones,L12610652,379.676.035,-0.7257612,15/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971610,Iberian Magpie,Cyanopica cooki,7,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957924,Barn Swallow,Hirundo rustica,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971604,Barn Swallow,Hirundo rustica,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957915,Black-headed Gull,Chroicocephalus ridibundus,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971595,Black-headed Gull,Chroicocephalus ridibundus,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971608,Black-winged Stilt,Himantopus himantopus,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971578,Black-winged Stilt,Himantopus himantopus,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971592,Common Cuckoo,Cuculus canorus,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957912,Common Cuckoo,Cuculus canorus,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957925,Western House-Martin,Delichon urbicum,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971605,Western House-Martin,Delichon urbicum,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2159464448,Western House-Martin,Delichon urbicum,1,Los Balcones,L12610652,379.676.035,-0.7257612,15/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971613,Common Wood-Pigeon,Columba palumbus,5,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971583,Common Wood-Pigeon,Columba palumbus,5,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971614,Eurasian Collared-Dove,Streptopelia decaocto,8,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2159464447,Eurasian Collared-Dove,Streptopelia decaocto,8,Los Balcones,L12610652,379.676.035,-0.7257612,15/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971584,Eurasian Collared-Dove,Streptopelia decaocto,8,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957914,Eurasian Blackbird,Turdus merula,5,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971594,Eurasian Blackbird,Turdus merula,4,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971615,European Goldfinch,Carduelis carduelis,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971585,European Goldfinch,Carduelis carduelis,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971598,European Greenfinch,Chloris chloris,9,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957918,European Greenfinch,Chloris chloris,9,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971591,European Serin,Serinus serinus,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957911,European Serin,Serinus serinus,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957921,Great Tit,Parus major,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971601,Great Tit,Parus major,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957917,Iberian Green Woodpecker,Picus sharpei,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971597,Iberian Green Woodpecker,Picus sharpei,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957913,Gull-billed Tern,Gelochelidon nilotica,5,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971593,Gull-billed Tern,Gelochelidon nilotica,5,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2159464444,Eurasian Hoopoe,Upupa epops,1,Los Balcones,L12610652,379.676.035,-0.7257612,15/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971590,Kentish Plover,Anarhynchus alexandrinus,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957910,Kentish Plover,Anarhynchus alexandrinus,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971586,Little Owl,Athene noctua,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957906,Little Owl,Athene noctua,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971607,Long-tailed Tit,Aegithalos caudatus,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971577,Long-tailed Tit,Aegithalos caudatus,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971609,Monk Parakeet,Myiopsitta monachus,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971579,Monk Parakeet,Myiopsitta monachus,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2159464449,Monk Parakeet,Myiopsitta monachus,4,Los Balcones,L12610652,379.676.035,-0.7257612,15/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971587,Pied Avocet,Recurvirostra avosetta,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957907,Pied Avocet,Recurvirostra avosetta,2,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121992077,Red-necked Nightjar,Caprimulgus ruficollis,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2122479916,Red-necked Nightjar,Caprimulgus ruficollis,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957909,Rock Pigeon,Columba livia,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971589,Rock Pigeon,Columba livia,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957908,Sardinian Warbler,Curruca melanocephala,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971588,Sardinian Warbler,Curruca melanocephala,3,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971603,Spotted Flycatcher,Muscicapa striata,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957923,Spotted Flycatcher,Muscicapa striata,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971606,Spotless Starling,Sturnus unicolor,6,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971576,Spotless Starling,Sturnus unicolor,6,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971596,White Wagtail,Motacilla alba,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957916,White Wagtail,Motacilla alba,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971582,Woodchat Shrike,Lanius senator,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971612,Woodchat Shrike,Lanius senator,1,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121971600,Yellow-legged Gull,Larus michahellis,5,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2121957920,Yellow-legged Gull,Larus michahellis,5,Los Balcones,L12610652,379.676.035,-0.7257612,04/05/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948908,Audouin's Gull,Ichthyaetus audouinii,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
